date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1/9/2014,158.5454,158.948,156.4736,157.1698,4322284,4322284,-0.49488,-0.314,157.4492,9-Jan-14,0
1/10/2014,157.9499,158.168,156.2472,157.0692,4023089,4023089,-0.100653,-0.064,156.9879,10-Jan-14,-0.000640072
1/13/2014,156.2304,156.8092,154.2173,154.469,5789107,5789107,-2.6002,-1.655,154.8575,13-Jan-14,-0.017183963
1/14/2014,155.2239,156.3713,154.2356,155.9452,4619509,4619509,1.4762,0.956,155.6201,14-Jan-14,-0.007791573
1/15/2014,155.8613,158.2351,155.5845,157.4718,4829291,4829291,1.5266,0.979,157.5421,15-Jan-14,0.001921489
1/16/2014,157.2956,158.5203,156.6833,158.3273,4775167,4775167,0.855551,0.543,157.8277,16-Jan-14,0.007364646
1/17/2014,157.7234,160.0468,157.5724,159.4429,7671146,7671146,1.1156,0.705,158.6359,17-Jan-14,0.014462702
1/21/2014,159.5603,159.6945,156.675,158.0505,11121410,11121410,-1.3924,-0.873,157.5948,21-Jan-14,0.005603494
1/22/2014,152.0533,153.9154,150.7029,152.8669,13800586,13800586,-5.1836,-3.28,152.5131,22-Jan-14,-0.027377397
1/23/2014,152.1791,154.0999,151.5752,153.2695,6974334,6974334,0.402611,0.263,151.5591,23-Jan-14,-0.024815836
1/24/2014,152.0281,153.3401,150.6777,150.6777,6938768,6938768,-2.5918,-1.691,135.4798,24-Jan-14,-0.041306281
1/27/2014,150.6483,150.6861,149.0169,149.2182,5209244,5209244,-1.4595,-0.969,150.6392,27-Jan-14,-0.050592417
1/28/2014,149.3441,149.6796,147.7588,148.3375,5336989,5336989,-0.880714,-0.59,148.4362,28-Jan-14,-0.05619591
1/29/2014,147.6078,149.7467,147.5323,147.9601,4971142,4971142,-0.37745,-0.254,142.6356,29-Jan-14,-0.058597135
1/30/2014,148.6059,149.1847,147.9265,148.7653,4854397,4854397,0.805225,0.544,148.5774,30-Jan-14,-0.053474013
1/31/2014,147.7168,149.1637,147.071,148.1949,5195381,5195381,-0.570365,-0.383,148.2228,31-Jan-14,-0.057103209
2/3/2014,147.6413,147.6413,144.8734,145.0244,7187767,7187767,-3.1706,-2.139,144.8691,3-Feb-14,-0.07727566
2/4/2014,145.5528,145.7373,144.5714,144.974,4351180,4351180,-0.050327,-0.035,144.057,4-Feb-14,-0.077596332
2/5/2014,144.4288,146.7606,144.4288,146.1483,4714375,4714375,1.1743,0.81,145.4675,5-Feb-14,-0.070124795
2/6/2014,146.7218,147.4639,146.57,147.3121,4292478,4292478,1.1638,0.796,147.1182,6-Feb-14,-0.062720065
2/7/2014,148.1302,149.7495,147.6495,149.488,4725647,4725647,2.1759,1.477,146.94,7-Feb-14,-0.048875802
2/10/2014,149.2519,149.8254,148.6447,149.3953,3544486,3544486,-0.092773,-0.062,149.4656,10-Feb-14,-0.04946561
2/11/2014,149.117,152.1362,149.1085,151.5543,4654207,4654207,2.159,1.445,151.3929,11-Feb-14,-0.035728874
2/12/2014,151.4025,152.8615,151.1832,152.0097,3984148,3984148,0.455423,0.301,152.3524,12-Feb-14,-0.032831371
2/13/2014,150.3061,153.7977,150.0025,153.3591,4482761,4482761,1.3494,0.888,152.7817,13-Feb-14,-0.024245752
2/14/2014,152.87,155.5435,152.6423,154.9194,4665873,4665873,1.5602,1.017,154.8373,14-Feb-14,-0.014318272
2/18/2014,154.4892,155.1808,153.7639,154.4977,4435484,4435484,-0.421687,-0.272,154.7188,18-Feb-14,-0.017001358
2/19/2014,154.1182,156.5724,153.8398,154.2953,4671705,4671705,-0.202412,-0.131,155.1941,19-Feb-14,-0.018289137
2/20/2014,154.3037,155.906,154.1603,155.4001,4968267,4968267,1.1048,0.716,159.1695,20-Feb-14,-0.011259797
2/21/2014,155.3917,156.623,154.017,154.1603,5699331,5699331,-1.2398,-0.798,154.9378,21-Feb-14,-0.019148081
2/24/2014,154.1856,156.1591,154.1856,154.717,4595312,4595312,0.556628,0.361,155.3312,24-Feb-14,-0.015606052
2/25/2014,154.776,155.6868,154.2362,154.5314,3902332,3902332,-0.185543,-0.12,154.7141,25-Feb-14,-0.01678694
2/26/2014,155.1302,156.2603,154.8097,155.2314,3740884,3740884,0.699999,0.453,155.639,26-Feb-14,-0.012333158
2/27/2014,155.0374,156.8254,155.0206,156.2519,3827965,3827965,1.0205,0.657,156.2251,27-Feb-14,-0.00584018
2/28/2014,156.3447,156.9688,154.8856,156.1676,4668452,4668452,-0.084339,-0.054,156.2263,28-Feb-14,-0.006376543
3/3/2014,154.6158,155.7206,154.1856,155.4001,3950114,3950114,-0.767469,-0.491,154.0021,3-Mar-14,-0.011259797
3/4/2014,156.7073,157.8459,156.5977,157.2386,4734235,4734235,1.8386,1.183,157.3601,4-Mar-14,0.000437743
3/5/2014,157.3483,158.5121,157.2049,157.829,3487359,3487359,0.590364,0.375,157.9195,5-Mar-14,0.00419419
3/6/2014,158.023,158.8832,157.6266,158.2507,3817529,3817529,0.421684,0.267,158.5126,6-Mar-14,0.006877275
